Site_code,Mean_NDVI,WY
BR 8,0.4406000077724460,2010
DC 1,0.8598999977111820,2011
DC 2,0.7824000120162960,2011
DC 13,0.819100022315979,2011
DC 12,0.7325999736785890,2011
DC 11,0.7135999798774720,2011
DC 17,0.6047999858856200,2011
DC 3,0.763700008392334,2011
DC 4,0.7843999862670900,2011
DC 19,0.4259999990463260,2011
DC 5,0.682200014591217,2011
NA,0.7556999921798710,2011
DC 6,0.6998000144958500,2011
DC 18,0.5385000109672550,2011
DC 7,0.631600022315979,2011
DC 8,0.6291999816894530,2011
DC 15,0.6241999864578250,2011
DC 16,0.6385999917984010,2011
DC 9,0.6912000179290770,2011
DC 10,0.4959000051021580,2011
DC 14,0.4487999975681310,2011
BR 1,0.7666000127792360,2011
BR 2,0.4352000057697300,2011
BR 3,0.7192000150680540,2011
BR 4,0.6945000290870670,2011
BR 5,0.6729999780654910,2011
BR 6,0.6850000023841860,2011
BR 7,0.6414999961853030,2011
BR 9,0.7361999750137330,2011
BR 11,0.4293999969959260,2011
BR 12,0.33500000834465000,2011
BAFB 1C,0.39629998803138700,2011
BAFB 2B,0.42750000953674300,2011
BAFB 3C,0.43059998750686600,2011
BR 13,0.5722000002861020,2011
BR 8,0.40230000019073500,2011
DC 1,0.8450999855995180,2012
DC 2,0.7858999967575070,2012
DC 13,0.7822999954223630,2012
DC 12,0.6883999705314640,2012
DC 11,0.6883999705314640,2012
DC 17,0.6021999716758730,2012
DC 3,0.7253000140190130,2012
DC 4,0.7907999753952030,2012
DC 19,0.3075999915599820,2012
DC 5,0.7222999930381780,2012
NA,0.704800009727478,2012
DC 6,0.6707000136375430,2012
DC 18,0.5501000285148620,2012
DC 7,0.590499997138977,2012
DC 8,0.5928000211715700,2012
DC 15,0.6043000221252440,2012
DC 16,0.6057999730110170,2012
DC 9,0.6277999877929690,2012
DC 10,0.4413999915122990,2012
DC 14,0.41589999198913600,2012
BR 1,0.7215999960899350,2012
BR 2,0.4341999888420110,2012
BR 3,0.7305999994277950,2012
BR 4,0.7591000199317930,2012
BR 5,0.733299970626831,2012
BR 6,0.694599986076355,2012
BR 7,0.5648999810218810,2012
BR 9,0.6855999827384950,2012
BR 11,0.48429998755455000,2012
BR 12,0.32260000705719000,2012
BAFB 1C,0.37470000982284500,2012
BAFB 2B,0.3691999912261960,2012
BAFB 3C,0.4056999981403350,2012
BR 13,0.4327999949455260,2012
BR 8,0.4404999911785130,2012
DC 1,0.8716999888420110,2013
DC 2,0.7983999848365780,2013
DC 13,0.7565000057220460,2013
DC 12,0.7350999712944030,2013
DC 11,0.7350999712944030,2013
DC 17,0.6463000178337100,2013
DC 3,0.7444999814033510,2013
DC 4,0.7785999774932860,2013
DC 19,0.3343000113964080,2013
DC 5,0.7139999866485600,2013
NA,0.6723999977111820,2013
DC 6,0.6480000019073490,2013
DC 18,0.5009999871253970,2013
DC 7,0.6055999994277950,2013
DC 8,0.6359999775886540,2013
DC 15,0.6395999789237980,2013
DC 16,0.6187000274658200,2013
DC 9,0.6826000213623050,2013
DC 10,0.5507000088691710,2013
DC 14,0.47130000591278100,2013
BR 1,0.6671000123023990,2013
BR 2,0.36390000581741300,2013
BR 3,0.7264000177383420,2013
BR 4,0.6665999889373780,2013
BR 5,0.704200029373169,2013
BR 6,0.7070000171661380,2013
BR 7,0.6377999782562260,2013
BR 9,0.6879000067710880,2013
BR 11,0.5849000215530400,2013
BR 12,0.3610999882221220,2013
BAFB 1C,0.3116999864578250,2013
BAFB 2B,0.3984000086784360,2013
BAFB 3C,0.37689998745918300,2013
BR 13,0.5245000123977660,2013
BR 8,0.46160000562667800,2013
DC 1,0.8535000085830690,2014
DC 2,0.7940000295639040,2014
DC 13,0.8131999969482420,2014
DC 12,0.7387999892234800,2014
DC 11,0.728600025177002,2014
DC 17,0.6872000098228460,2014
DC 3,0.7416999936103820,2014
DC 4,0.7853999733924870,2014
DC 19,0.2858999967575070,2014
DC 5,0.7163000106811520,2014
NA,0.6919999718666080,2014
DC 6,0.6389999985694890,2014
DC 18,0.4986000061035160,2014
DC 7,0.5252000093460080,2014
DC 8,0.583299994468689,2014
DC 15,0.5982000231742860,2014
DC 16,0.5964000225067140,2014
DC 9,0.6011999845504760,2014
DC 10,0.48969998955726600,2014
DC 14,0.4397999942302700,2014
BR 1,0.6830000281333920,2014
BR 2,0.516700029373169,2014
BR 3,0.7150999903678890,2014
BR 4,0.7235999703407290,2014
BR 5,0.7077000141143800,2014
BR 6,0.6725999712944030,2014
BR 7,0.573199987411499,2014
BR 9,0.7002000212669370,2014
BR 11,0.46619999408721900,2014
BR 12,0.34360000491142300,2014
BAFB 1C,0.3725999891757970,2014
BAFB 2B,0.37119999527931200,2014
BAFB 3C,0.38269999623298600,2014
BR 13,0.5486000180244450,2014
BR 8,0.3346000015735630,2014
DC 1,0.8574000000953670,2015
DC 2,0.7907999753952030,2015
DC 13,0.8154000043869020,2015
DC 12,0.6865000128746030,2015
DC 11,0.6561999917030330,2015
DC 17,0.6028000116348270,2015
DC 3,0.7214000225067140,2015
DC 4,0.7871000170707700,2015
