Site_code,Mean_NDVI,WY
DC 1,0.8270000219,2006
DC 2,0.7634999752,2006
DC 13,0.7139000297,2006
DC 12,0.6514999866,2006
DC 11,0.6994000077,2006
DC 17,0.5243999958,2006
DC 3,0.7506999969,2006
DC 4,0.7483000159,2006
DC 19,0.3612999916,2006
DC 5,0.7160000205,2006
NA,0.6917999983,2006
DC 6,0.6553000212,2006
DC 18,0.4880999923,2006
DC 7,0.5641999841,2006
DC 8,0.5641999841,2006
DC 15,0.5903999805,2006
DC 16,0.5667999983,2006
DC 9,0.5558000207,2006
DC 10,0.4515999854,2006
DC 14,0.3869000077,2006
BR 1,0.7003999949,2006
BR 2,0.4799999893,2006
BR 3,0.6308000088,2006
BR 4,0.7301999927,2006
BR 5,0.7153000236,2006
BR 6,0.6963999867,2006
BR 7,0.5816000104,2006
BR 9,0.6377000213,2006
BR 11,0.4183999896,2006
BR 12,0.3136000037,2006
BAFB 1C,0.339899987,2006
BAFB 2B,0.3621000051,2006
BAFB 3C,0.3483999968,2006
BR 13,0.5206999779,2006
BR 8,0.3677000105,2006
DC 1,0.861100018,2007
DC 2,0.804099977,2007
DC 13,0.7347000241,2007
DC 12,0.7347000241,2007
DC 11,0.7360000014,2007
DC 17,0.6072999835,2007
DC 3,0.7407000065,2007
DC 4,0.7811999917,2007
DC 19,0.4402999878,2007
DC 5,0.7380999923,2007
NA,0.685199976,2007
DC 6,0.605799973,2007
DC 18,0.465200007,2007
DC 7,0.560199976,2007
DC 8,0.5798000097,2007
DC 15,0.5913000107,2007
DC 16,0.6144000292,2007
DC 9,0.6265000105,2007
DC 10,0.4842000008,2007
DC 14,0.5557000041,2007
BR 1,0.7099999785,2007
BR 2,0.3160000145,2007
BR 3,0.7354000211,2007
BR 4,0.6424999833,2007
BR 5,0.641200006,2007
BR 6,0.7245000005,2007
BR 7,0.5856999755,2007
BR 9,0.7286999822,2007
BR 11,0.4916000068,2007
BR 12,0.2980000079,2007
BAFB 1C,0.4041999876,2007
BAFB 2B,0.3907999992,2007
BAFB 3C,0.3438000083,2007
BR 13,0.4133999944,2007
BR 8,0.4607000053,2007
DC 1,0.8357999921,2008
DC 2,0.798699975,2008
DC 13,0.6948999763,2008
DC 12,0.7351999879,2008
DC 11,0.7166000009,2008
DC 17,0.608099997,2008
DC 3,0.7709000111,2008
DC 4,0.7552000284,2008
DC 19,0.3829999864,2008
DC 5,0.7408999801,2008
NA,0.7002000213,2008
DC 6,0.6570000052,2008
DC 18,0.4853999913,2008
DC 7,0.5568000078,2008
DC 8,0.6108000278,2008
DC 15,0.5491999984,2008
DC 16,0.5981000066,2008
DC 9,0.6014999747,2008
