"","Site_code","WY","P_ET"
"176","DC 8",2015,95.8641518914951
"177","DC 8",2016,378.858437022804
"178","DC 8",2017,909.760528980437
"179","DC 8",2018,187.623779925018
"180","DC 8",2019,529.120742198788
"181","DC 8",2020,-50.5092444825946
"182","DC 8",2021,-97.6832815518537
"183","DC 8",2022,239.484481044303
"184","DC 8",2023,-138.620423237054
"185","DC 15",2001,NA
"186","DC 15",2002,458.220472102121
"187","DC 15",2003,466.688215586445
"188","DC 15",2004,225.513390727081
"189","DC 15",2005,604.606575907766
"190","DC 15",2006,856.720991887563
"191","DC 15",2007,108.578674026476
"192","DC 15",2008,223.568206222248
"193","DC 15",2009,279.760001384397
"194","DC 15",2010,371.772598315862
"195","DC 15",2011,809.434629150295
"196","DC 15",2012,233.174619961462
"197","DC 15",2013,282.001902550792
"198","DC 15",2014,110.380193282109
"199","DC 15",2015,197.951138917304
"200","DC 15",2016,515.160379215404
"201","DC 15",2017,1243.03432015543
"202","DC 15",2018,378.327701909088
"203","DC 15",2019,737.246463443776
"204","DC 15",2020,91.246993516977
"205","DC 15",2021,-8.30745185743348
"206","DC 15",2022,410.485620421156
"207","DC 15",2023,-107.813214481621
"208","DC 16",2001,NA
"209","DC 16",2002,360.641592702415
"210","DC 16",2003,342.044000463722
"211","DC 16",2004,161.871371168023
"212","DC 16",2005,424.059325731494
"213","DC 16",2006,658.998210095781
"214","DC 16",2007,7.50838479068386
"215","DC 16",2008,120.75449040264
"216","DC 16",2009,141.168067260086
"217","DC 16",2010,276.864250205039
"218","DC 16",2011,661.149247957398
"219","DC 16",2012,107.245491055498
"220","DC 16",2013,269.684471289215
"221","DC 16",2014,30.2435382489533
"222","DC 16",2015,111.972652775974
"223","DC 16",2016,406.530253264232
"224","DC 16",2017,942.721407721216
"225","DC 16",2018,227.878569278545
"226","DC 16",2019,547.097486894794
"227","DC 16",2020,-36.7082884130602
"228","DC 16",2021,-82.4678908513962
"229","DC 16",2022,308.340620990289
"230","DC 16",2023,-157.528921196453
"231","DC 9",2001,NA
"232","DC 9",2002,325.535614161647
"233","DC 9",2003,321.169086019841
"234","DC 9",2004,135.155924667567
"235","DC 9",2005,347.66698004582
"236","DC 9",2006,669.139946547481
"237","DC 9",2007,-4.87266412587201
"238","DC 9",2008,117.395885183912
"239","DC 9",2009,77.7655550651913
"240","DC 9",2010,269.378386514006
"241","DC 9",2011,603.311065076919
"242","DC 9",2012,84.8721194962341
"243","DC 9",2013,200.986042165681
"244","DC 9",2014,25.5101917051426
"245","DC 9",2015,92.2348942446863
"246","DC 9",2016,343.217544043122
"247","DC 9",2017,883.882858314884
"248","DC 9",2018,160.814662554528
"249","DC 9",2019,519.539375621655
"250","DC 9",2020,-32.1801150177096
"251","DC 9",2021,-71.3155786026987
"252","DC 9",2022,274.59683882837
"253","DC 9",2023,-209.913443168811
